********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[13:17:24, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:17:24, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[13:18:53, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:18:53, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:18:57, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:18:57, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:18:57, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[13:18:57, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[13:18:57, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:18:57, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:18:57, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[13:20:06, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:20:06, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:20:15, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:20:15, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:24:42, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[13:24:42, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:24:42, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:24:52, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:24:52, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:24:52, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[13:24:52, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[13:24:52, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:24:52, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:24:53, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[13:25:36, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:25:36, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
